Lineage	Ploidy	Histone	dn	ds	dn_ds
HP14	2	H2A	1.0519468907272864e-05	0.00013842696318727644	0.07599291832358686
HP14	2	H2B	5.400073441024897e-06	0.000550575543245452	0.00980805178739567
HP14	2	H3	8.591488295667614e-06	8.971545987644817e-05	0.09576374359000556
HP14	2	H4	2.640635063898616e-05	0.00022661320882871638	0.11652608766925483
Ianthe	2	H2A	3.2017270540976914e-07	0.002063111635048072	0.00015518922969105783
Ianthe	2	H2B	2.5339803751538113e-06	0.0012057304339074888	0.0021016143442127246
Ianthe	2	H3	1.1380668717882878e-05	0.00017679445861867386	0.06437231577732719
Ianthe	2	H4	4.634381300883771e-06	0.0003472523936577795	0.013345858475063522
Kan	3	H2A	5.678349475253488e-07	0.00032699361092966756	0.001736532239608447
Kan	3	H2B	7.118914538326612e-07	0.000851709217979452	0.0008358386158148121
Kan	3	H3	1.389657796130776e-06	8.227508314665203e-05	0.01689038458525489
Kan	3	H4	3.747501949245871e-06	6.844823643368026e-05	0.054749430292142576
Kn4	2	H2A	3.353461554816922e-06	0.0007958171484349294	0.004213859378893643
Kn4	2	H2B	1.6927784460043736e-05	0.000845134999414048	0.020029681023481655
Kn4	2	H3	2.7437474485336772e-05	0.00016197004301546537	0.1693984515563595
Kn4	2	H4	0.00011140602238438353	0.00027512472140409615	0.40492916018533
LY1	2	H2A	1.009734037682876e-05	0.0003095090504791689	0.032623732201680314
LY1	2	H2B	1.1923091849634904e-05	0.00048570376028249504	0.024548074000292266
LY1	2	H3	1.6220775569984446e-05	0.00014177362315978672	0.11441321177002532
LY1	2	H4	3.0484175813705786e-05	8.28573194825114e-05	0.3679116824451465
MP2	2	H2A	9.41646883946884e-06	0.0004707221180265417	0.02000430504295507
MP2	2	H2B	3.910121889110156e-06	0.00200445663298061	0.0019507141360777846
MP2	2	H3	1.3788314434400183e-05	6.5355433701738e-05	0.21097426263477628
MP2	2	H4	2.1967221199969486e-05	0.0001306759975068253	0.16810448451960067
MP5	4	H2A	4.179529683451851e-06	2.074887999884431e-05	0.2014339898676288
MP5	4	H2B	4.407327660601845e-06	4.5128354737289e-05	0.09766205052807131
MP5	4	H3	4.325168961992541e-06	1.6507585265039706e-05	0.26201100236946967
MP5	4	H4	6.547089239111046e-06	2.4308846013923535e-06	2.693294957465701
MP7	3	H2A	5.170165316074192e-06	0.00010229830200679367	0.05054008927470604
MP7	3	H2B	3.2716696312065778e-06	0.00024587948251565575	0.01330598876219069
MP7	3	H3	5.557609205192848e-06	2.1714780937188552e-05	0.2559366922129494
MP7	3	H4	9.203428301380574e-06	4.7977568042723493e-05	0.19182773693708324
MV35	2	H2A	4.089294906397909e-06	2.4894514003185055e-06	1.6426490213364744
MV35	2	H2B	3.5152152207250174e-06	9.319272087656113e-06	0.3771984751235145
MV35	2	H3	3.5247402127594553e-06	3.2379330658906678e-06	1.0885772315339368
MV35	2	H4	4.247994020031708e-06	3.3494868040958293e-06	1.268252203542693
Mv	3	H2A	1.1643443414631678e-06	0.00016587802542829833	0.007019280211811189
Mv	3	H2B	1.420124221942437e-07	0.004561578289486425	3.1132299651976924e-05
Mv	3	H3	1.2656374298548866e-06	0.00010641750397109517	0.011893132075327151
Mv	3	H4	1.3411095779819726e-06	0.0006739015394890047	0.0019900675386479868
Pest	2	H2A	1.07811952333776e-05	3.9278819703101564e-05	0.27447859469479646
Pest	2	H2B	4.523963798211007e-06	0.0009731033159818179	0.004649006661380585
Pest	2	H3	4.421159797597089e-06	0.00015391792433574762	0.028724138638674904
Pest	2	H4	2.0432122301003157e-05	0.0005598595593092315	0.03649508517138264
Pg14	2	H2A	9.81757407374359e-06	0.0003130988285894778	0.031356150765469604
Pg14	2	H2B	4.9327409870695e-06	0.000586810568792705	0.008406019334685886
Pg14	2	H3	6.7630632571532305e-06	9.722033346415936e-05	0.06956428780041636
Pg14	2	H4	1.866363403448024e-05	0.0004131970938440713	0.045168841486390894
Pg7	3	H2A	6.568052733406811e-06	5.3084280803218604e-05	0.12372876930845744
